stage,protein_limit_g,potassium_limit_mg,sodium_limit_mg,sugar_limit_g,carb_limit_g,water_limit_ml
stage_1,0.8-1.0,"ทานได้ตามปกติ(หากเลือดปกติ) 3,000 - 4,000(เกณฑ์คนปกติ)","น้อยกว่า 2,000","< 24 กรัม/วัน
(ไม่เกิน 6 ช้อนชา)",3.75 - 5.25             (กรัม/นน.ตัว 1 กก.),"1,500 - 2,000"
stage_2,0.8-1.0,"ทานได้ตามปกติ(หากเลือดปกติ) 3,000 - 4,000(เกณฑ์คนปกติ)","น้อยกว่า 2,000","< 24 กรัม/วัน
(ไม่เกิน 6 ช้อนชา)",3.75 - 5.25              (กรัม/นน.ตัว 1 กก.),"1,500 - 2,000"
stage_3a,0.8,"ทานได้ตามปกติ(หากเลือดปกติ) 3,000 - 4,000(เกณฑ์คนปกติ)","น้อยกว่า 2,000","< 24 กรัม/วัน
(ไม่เกิน 6 ช้อนชา)",3.75 - 5.25              (กรัม/นน.ตัว 1 กก.),"1,500 - 2,000"
stage_3b,0.6 - 0.8,"จำกัดอย่างเคร่งครัด     1,500 - 2,000(ต้องจำกัด)","น้อยกว่า 2,000","< 24 กรัม/วัน
(ไม่เกิน 6 ช้อนชา)",3.75 - 5.25              (กรัม/นน.ตัว 1 กก.),"1,500 - 2,000"
stage_4,0.6,"จำกัดอย่างเคร่งครัด     1,500 - 2,000(ต้องจำกัด)","น้อยกว่า 2,000","< 24 กรัม/วัน
(ไม่เกิน 6 ช้อนชา)",3.75 - 5.25              (กรัม/นน.ตัว 1 กก.),ปริมาณปัสสาวะ+ 500 มล.
stage_5,1.2 - 1.3,"จำกัดอย่างเคร่งครัด     1,500 - 2,000(ต้องจำกัด)","น้อยกว่า 2,000","< 24 กรัม/วัน
(ไม่เกิน 6 ช้อนชา)",3.75 - 5.25             (กรัม/นน.ตัว 1 กก.),ปริมาณปัสสาวะ+ 500 มล.
